case;event;time;resource
0;W_Completeren aanvraag;01.10.2011-09:45:13;-1
0;W_Nabellen offertes;01.10.2011-10:17:08;-1
0;W_Nabellen offertes;08.10.2011-14:32:00;10913
0;W_Nabellen offertes;10.10.2011-09:33:05;11049
0;W_Valideren aanvraag;13.10.2011-08:37:37;10629
1;W_Completeren aanvraag;01.10.2011-09:43:13;-1
1;W_Completeren aanvraag;01.10.2011-12:35:48;-1
1;W_Nabellen offertes;01.10.2011-12:36:25;-1
1;W_Nabellen offertes;03.10.2011-14:56:21;-1
1;W_Nabellen offertes;03.10.2011-14:57:16;-1
1;W_Nabellen offertes;10.10.2011-08:14:45;11049
1;W_Valideren aanvraag;10.10.2011-09:30:54;10809
1;W_Valideren aanvraag;10.10.2011-12:14:13;10809
1;W_Valideren aanvraag;10.10.2011-12:17:34;10809
2;W_Completeren aanvraag;01.10.2011-09:35:59;10912
2;W_Completeren aanvraag;03.10.2011-09:21:22;-1
2;W_Completeren aanvraag;03.10.2011-11:32:43;11201
2;W_Completeren aanvraag;03.10.2011-11:40:17;11201
2;W_Nabellen offertes;03.10.2011-11:44:21;11201
2;W_Nabellen offertes;10.10.2011-14:47:18;-1
2;W_Nabellen offertes;10.10.2011-17:34:36;11119
2;W_Nabellen offertes;14.10.2011-16:16:42;10912
2;W_Nabellen offertes;17.10.2011-17:43:57;10861
2;W_Nabellen offertes;25.10.2011-08:50:48;-1
2;W_Nabellen offertes;26.10.2011-16:50:22;11203
2;W_Nabellen offertes;29.10.2011-10:41:29;11181
2;W_Nabellen offertes;01.11.2011-13:55:35;11189
2;W_Nabellen offertes;01.11.2011-16:21:02;11119
2;W_Nabellen offertes;02.11.2011-08:15:18;11049
2;W_Valideren aanvraag;04.11.2011-15:05:01;10609
3;W_Completeren aanvraag;01.10.2011-09:40:24;10912
3;W_Completeren aanvraag;01.10.2011-11:02:12;10912
4;W_Afhandelen leads;01.10.2011-08:16:49;10912
4;W_Completeren aanvraag;01.10.2011-09:50:14;10912
4;W_Completeren aanvraag;01.10.2011-09:53:55;10912
4;W_Completeren aanvraag;01.10.2011-13:00:02;-1
5;W_Completeren aanvraag;01.10.2011-08:27:07;10912
5;W_Completeren aanvraag;01.10.2011-09:43:02;10912
5;W_Completeren aanvraag;10.10.2011-15:43:13;10982
5;W_Completeren aanvraag;01.11.2011-08:15:08;10982
6;W_Afhandelen leads;01.10.2011-08:10:25;10912
6;W_Completeren aanvraag;01.10.2011-11:03:35;11019
6;W_Completeren aanvraag;03.10.2011-09:17:29;11180
6;W_Completeren aanvraag;03.10.2011-12:42:55;11180
7;W_Completeren aanvraag;01.10.2011-09:46:06;-1
7;W_Completeren aanvraag;01.10.2011-10:30:24;10912
7;W_Nabellen offertes;08.10.2011-14:38:17;10913
7;W_Nabellen offertes;10.10.2011-10:54:04;10899
7;W_Valideren aanvraag;13.10.2011-09:05:28;10138
8;W_Completeren aanvraag;01.10.2011-08:44:43;-1
8;W_Nabellen offertes;01.10.2011-08:44:58;-1
8;W_Nabellen offertes;01.10.2011-08:46:56;-1
8;W_Nabellen offertes;01.10.2011-08:50:20;-1
8;W_Nabellen offertes;01.10.2011-08:50:34;-1
8;W_Nabellen offertes;08.10.2011-14:31:37;11002
8;W_Nabellen offertes;10.10.2011-08:55:07;11049
8;W_Valideren aanvraag;13.10.2011-10:36:12;10629
8;W_Nabellen incomplete dossiers;13.10.2011-11:05:42;-1
8;W_Nabellen incomplete dossiers;13.10.2011-11:53:16;10629
8;W_Nabellen incomplete dossiers;13.10.2011-15:12:01;11122
8;W_Nabellen incomplete dossiers;13.10.2011-15:14:13;11122
8;W_Nabellen incomplete dossiers;13.10.2011-15:14:26;11122
8;W_Nabellen incomplete dossiers;15.10.2011-13:17:31;10913
8;W_Nabellen incomplete dossiers;15.10.2011-14:56:14;10913
8;W_Nabellen incomplete dossiers;17.10.2011-11:32:51;-1
8;W_Nabellen incomplete dossiers;17.10.2011-12:28:36;-1
8;W_Nabellen incomplete dossiers;18.10.2011-14:46:24;10889
8;W_Nabellen incomplete dossiers;18.10.2011-15:46:34;11002
8;W_Valideren aanvraag;19.10.2011-06:53:21;10972
8;W_Nabellen incomplete dossiers;19.10.2011-07:17:01;-1
8;W_Nabellen incomplete dossiers;19.10.2011-07:24:19;-1
