case_id;activity;time;Resource
0;Assign seriousness;09.10.2012-14:50:17;Value 1
0;Take in charge ticket;09.10.2012-14:51:01;Value 1
0;Take in charge ticket;12.10.2012-15:02:56;Value 2
0;Resolve ticket;25.10.2012-11:54:26;Value 1
0;Closed;09.11.2012-12:54:39;Value 3
1;Assign seriousness;03.04.2012-08:55:38;Value 4
1;Take in charge ticket;03.04.2012-08:55:53;Value 4
1;Resolve ticket;05.04.2012-09:15:52;Value 4
1;Closed;19.05.2012-09:00:28;Value 5
2;Assign seriousness;29.10.2010-10:14:06;Value 6
2;Take in charge ticket;03.11.2010-16:16:11;Value 7
2;Resolve ticket;03.11.2010-16:21:17;Value 7
2;Closed;30.11.2010-11:20:18;Value 5
3;Assign seriousness;15.12.2010-14:31:53;Value 8
3;Take in charge ticket;16.12.2010-08:01:07;Value 2
3;Resolve ticket;16.12.2010-08:08:19;Value 2
3;Closed;12.02.2011-14:40:42;Value 5
4;Assign seriousness;03.04.2012-13:08:32;Value 9
4;Take in charge ticket;03.04.2012-13:45:33;Value 10
4;Resolve ticket;03.04.2012-13:47:22;Value 10
4;Take in charge ticket;03.04.2012-14:15:02;Value 10
4;Resolve ticket;03.04.2012-16:07:28;Value 10
4;Closed;25.05.2012-13:10:28;Value 5
5;Assign seriousness;25.10.2011-15:13:58;Value 2
5;Take in charge ticket;25.10.2011-15:58:55;Value 2
5;Resolve ticket;26.10.2011-09:54:46;Value 2
5;Closed;10.12.2011-16:20:56;Value 5
6;Assign seriousness;06.11.2013-10:47:35;Value 1
6;Assign seriousness;06.11.2013-10:48:53;Value 1
6;Assign seriousness;22.11.2013-08:00:08;Value 2
6;Take in charge ticket;25.11.2013-08:18:07;Value 11
6;Resolve ticket;25.11.2013-08:57:19;Value 11
6;Closed;10.12.2013-08:57:37;Value 3
7;Assign seriousness;05.07.2012-08:30:32;Value 1
7;Take in charge ticket;05.07.2012-09:25:45;Value 6
7;Resolve ticket;05.07.2012-09:44:46;Value 6
7;Closed;02.09.2012-08:40:27;Value 5
8;Insert ticket;07.05.2010-13:02:21;Value 12
8;Assign seriousness;07.05.2010-13:02:34;Value 12
8;Take in charge ticket;24.05.2010-10:26:28;Value 6
8;Resolve ticket;25.05.2010-15:35:44;Value 12
8;Closed;09.06.2010-15:35:56;Value 5
9;Assign seriousness;10.02.2010-08:50:20;Value 2
9;Take in charge ticket;19.03.2010-08:47:06;Value 2
9;Resolve ticket;19.03.2010-08:47:13;Value 2
9;Closed;03.04.2010-07:47:38;Value 5
10;Assign seriousness;21.12.2011-15:24:41;Value 4
10;Take in charge ticket;21.12.2011-15:25:34;Value 4
10;Resolve ticket;22.12.2011-09:55:43;Value 4
10;Closed;21.01.2012-15:30:31;Value 5
11;Assign seriousness;18.03.2013-10:47:34;Value 4
11;Take in charge ticket;18.03.2013-15:03:49;Value 2
11;Resolve ticket;03.04.2013-07:13:38;Value 2
11;Closed;18.04.2013-07:13:53;Value 3
12;Assign seriousness;17.12.2012-09:47:49;Value 4
12;Take in charge ticket;02.01.2013-09:22:43;Value 4
12;Resolve ticket;04.01.2013-10:29:36;Value 4
12;Closed;19.01.2013-10:29:51;Value 3
13;Assign seriousness;05.07.2011-13:47:08;Value 13
13;Take in charge ticket;05.07.2011-13:47:22;Value 13
13;Resolve ticket;05.07.2011-13:52:37;Value 13
13;Closed;05.08.2011-13:50:21;Value 5
14;Assign seriousness;20.02.2013-09:58:27;Value 2
14;Assign seriousness;08.03.2013-08:25:42;Value 2
14;Take in charge ticket;08.03.2013-08:30:43;Value 9
14;Resolve ticket;08.03.2013-08:34:08;Value 9
14;Closed;23.03.2013-08:34:25;Value 3
15;Assign seriousness;22.02.2012-14:16:52;Value 1
15;Take in charge ticket;22.02.2012-16:14:07;Value 9
15;Take in charge ticket;22.02.2012-16:23:57;Value 1
15;Resolve ticket;23.02.2012-09:47:38;Value 9
15;Closed;24.03.2012-14:20:19;Value 5
16;Assign seriousness;14.10.2011-07:10:47;Value 1
16;Take in charge ticket;02.11.2011-16:17:52;Value 2
16;Resolve ticket;09.11.2011-13:31:37;Value 2
16;Closed;24.11.2011-15:57:55;Value 5
17;Assign seriousness;01.03.2013-16:06:11;Value 1
17;Take in charge ticket;18.03.2013-14:04:03;Value 1
17;Resolve ticket;19.03.2013-10:22:40;Value 1
17;Resolve ticket;19.03.2013-10:22:40;Value 1
17;Closed;03.04.2013-09:23:01;Value 3
18;Assign seriousness;07.07.2010-07:54:04;Value 2
18;Take in charge ticket;09.07.2010-10:10:52;Value 7
18;Resolve ticket;09.07.2010-10:11:18;Value 7
18;Closed;07.08.2010-08:00:22;Value 5
19;Assign seriousness;09.05.2013-07:10:37;Value 14
19;Take in charge ticket;04.06.2013-13:33:01;Value 9
19;Wait;10.06.2013-09:06:43;Value 9
19;Resolve ticket;19.06.2013-09:12:02;Value 9
19;Closed;04.07.2013-09:12:15;Value 3
20;Assign seriousness;14.01.2011-15:15:21;Value 8
20;Take in charge ticket;27.01.2011-08:06:37;Value 2
20;Resolve ticket;27.01.2011-10:19:15;Value 2
20;Closed;26.02.2011-10:19:37;Value 5
21;Assign seriousness;23.07.2012-07:49:04;Value 1
21;Take in charge ticket;23.07.2012-07:49:14;Value 1
21;Wait;23.07.2012-08:51:59;Value 1
21;Resolve ticket;27.08.2012-10:05:23;Value 1
21;Closed;11.09.2012-10:05:33;Value 3
22;Assign seriousness;19.12.2012-16:33:23;Value 13
22;Take in charge ticket;03.01.2013-08:26:14;Value 2
22;Resolve ticket;22.01.2013-15:50:53;Value 1
22;Closed;06.02.2013-15:51:06;Value 3
23;Assign seriousness;27.04.2010-09:49:56;Value 2
23;Take in charge ticket;08.06.2010-11:06:56;Value 2
23;Resolve ticket;08.06.2010-14:46:16;Value 2
23;Closed;23.06.2010-14:46:28;Value 5
24;Assign seriousness;30.12.2010-09:27:17;Value 13
24;Take in charge ticket;30.12.2010-13:14:04;Value 2
